CUDA extension not installed.
Starting ...
Ready.
0 self_attn.k_proj
Quantizing ...
time 2.87
error 5074.197265625
0 self_attn.v_proj
Quantizing ...
time 1.93
error 239.14019775390625
0 self_attn.q_proj
Quantizing ...
time 1.92
error 5169.5205078125
0 self_attn.o_proj
Quantizing ...
time 2.47
error 28.695995330810547
0 mlp.up_proj
Quantizing ...
time 2.68
error 2028.9918212890625
0 mlp.gate_proj
Quantizing ...
time 2.01
error 2213.83935546875
0 mlp.down_proj
Quantizing ...
time 8.07
error 163.89691162109375
1 self_attn.k_proj
Quantizing ...
time 2.70
error 12512.94140625
1 self_attn.v_proj
Quantizing ...
time 1.97
error 1450.8692626953125
1 self_attn.q_proj
Quantizing ...
time 1.87
error 12466.59375
1 self_attn.o_proj
Quantizing ...
time 2.44
error 399.53857421875
1 mlp.up_proj
Quantizing ...
time 2.63
error 19667.169921875
1 mlp.gate_proj
Quantizing ...
time 1.93
error 22554.74609375
1 mlp.down_proj
Quantizing ...
time 7.87
error 1280.11572265625
2 self_attn.k_proj
Quantizing ...
time 2.69
error 47117.28515625
2 self_attn.v_proj
Quantizing ...
time 1.86
error 8512.220703125
2 self_attn.q_proj
Quantizing ...
time 1.89
error 45189.078125
2 self_attn.o_proj
Quantizing ...
time 2.41
error 835.7360229492188
2 mlp.up_proj
Quantizing ...
time 2.62
error 57397.671875
2 mlp.gate_proj
Quantizing ...
time 1.88
error 68358.0234375
2 mlp.down_proj
Quantizing ...
time 7.90
error 2821.91552734375
3 self_attn.k_proj
Quantizing ...
time 2.74
error 84313.8125
3 self_attn.v_proj
Quantizing ...
time 1.91
error 16713.380859375
3 self_attn.q_proj
Quantizing ...
time 1.92
error 76689.015625
3 self_attn.o_proj
Quantizing ...
time 2.40
error 1379.4256591796875
3 mlp.up_proj
Quantizing ...
time 2.62
error 98044.6796875
3 mlp.gate_proj
Quantizing ...
time 1.91
error 114593.96875
3 mlp.down_proj
Quantizing ...
time 8.13
error 10566.54296875
4 self_attn.k_proj
Quantizing ...
time 2.76
error 242249.03125
4 self_attn.v_proj
Quantizing ...
time 1.90
error 85979.6171875
4 self_attn.q_proj
Quantizing ...
time 1.85
error 237797.4375
4 self_attn.o_proj
Quantizing ...
time 2.40
error 2457.0439453125
4 mlp.up_proj
Quantizing ...
time 2.60
error 143598.03125
4 mlp.gate_proj
Quantizing ...
time 1.90
error 167290.296875
4 mlp.down_proj
Quantizing ...
time 7.89
error 8558.279296875
5 self_attn.k_proj
Quantizing ...
time 2.67
error 276179.5625
5 self_attn.v_proj
Quantizing ...
time 1.87
error 106760.984375
5 self_attn.q_proj
Quantizing ...
time 1.85
error 274571.0
5 self_attn.o_proj
Quantizing ...
time 2.42
error 2047.890625
5 mlp.up_proj
Quantizing ...
time 2.57
error 171267.84375
5 mlp.gate_proj
Quantizing ...
time 1.88
error 200990.5625
5 mlp.down_proj
Quantizing ...
time 7.83
error 10399.94140625
6 self_attn.k_proj
Quantizing ...
time 2.63
error 307429.8125
6 self_attn.v_proj
Quantizing ...
time 1.86
error 132069.0625
6 self_attn.q_proj
Quantizing ...
time 1.86
error 309714.0625
6 self_attn.o_proj
Quantizing ...
time 2.41
error 2900.01904296875
6 mlp.up_proj
Quantizing ...
time 2.62
error 214876.40625
6 mlp.gate_proj
Quantizing ...
time 1.91
error 245754.546875
