model,w_bit,group_size,piqa,hellaswag,winogrande,arc_easy,arc_challenge
opt-125m,4,128,0.6180631120783461,0.2901812387970524,0.5122336227308603,0.41708754208754206,0.18771331058020477
opt-125m,3,128,0.5924918389553863,0.27912766381198967,0.49329123914759276,0.4057239057239057,0.1945392491467577
opt-125m,2,128,0.5413492927094669,0.2593108942441745,0.4940805051302289,0.2904040404040404,0.1962457337883959
opt-350m,4,128,0.6365614798694232,0.3174666401115316,0.5114443567482242,0.42634680134680136,0.2098976109215017
opt-350m,3,128,0.6218715995647442,0.3064130651264688,0.4940805051302289,0.3918350168350168,0.21245733788395904
opt-350m,2,128,0.5217627856365615,0.26020713005377416,0.5035516969218626,0.2563131313131313,0.1885665529010239
opt-1.3b,4,128,0.7110990206746464,0.407787293367855,0.585635359116022,0.5694444444444444,0.23037542662116042
opt-1.3b,3,128,0.6811751904243744,0.37343158733320053,0.5737963693764798,0.5075757575757576,0.22098976109215018
opt-1.3b,2,128,0.5217627856365615,0.2590121489743079,0.494869771112865,0.2638888888888889,0.20136518771331058
opt-2.7b,4,128,0.7366702937976061,0.44742083250348536,0.5943172849250198,0.5871212121212122,0.2619453924914676
opt-2.7b,3,128,0.7094668117519043,0.4100776737701653,0.5769534333070244,0.5500841750841751,0.25
opt-2.7b,2,128,0.5201305767138193,0.25801633140808605,0.5169692186266772,0.265993265993266,0.2098976109215017
opt-6.7b,4,128,0.7589771490750816,0.4916351324437363,0.6408839779005525,0.6443602693602694,0.30716723549488056
opt-6.7b,3,128,0.735038084874864,0.4501095399322844,0.6179952644041041,0.6022727272727273,0.29436860068259385
opt-6.7b,2,128,0.5467899891186072,0.2719577773351922,0.5027624309392266,0.31313131313131315,0.17747440273037543
opt-13b,4,128,0.7557127312295974,0.5165305715992831,0.6416732438831886,0.6658249158249159,0.3199658703071672
opt-13b,3,128,0.7442872687704026,0.4863572993427604,0.6314127861089187,0.6287878787878788,0.2960750853242321
opt-13b,2,128,0.5723612622415669,0.28759211312487554,0.5098658247829518,0.3047138047138047,0.19965870307167236
